MatchCode,Format,Week,Time,Player,Result,n_matches,n_wins,n_losses,last_match,Score,weeks_in_league,team_league
KLR1024,KLR,1,2020-12-04T17:51:04Z,Miles B,Loss,1,0,1,FALSE,2-1,6,FALSE
KLR1025,KLR,1,2020-12-04T17:51:27Z,Charles B,Win,2,2,0,FALSE,2-0,6,FALSE
KLR1025,KLR,1,2020-12-04T17:51:27Z,Maxime R,Loss,4,1,3,FALSE,2-0,6,FALSE
KLR1026,KLR,1,2020-12-04T17:54:27Z,Ryan D,Win,2,1,1,FALSE,2-1,6,FALSE
KLR1026,KLR,1,2020-12-04T17:54:27Z,Chris Y,Loss,3,1,2,FALSE,2-1,6,FALSE
KLR1027,KLR,1,2020-12-04T17:54:27Z,Chris G,Win,1,1,0,FALSE,2-1,6,FALSE
KLR1027,KLR,1,2020-12-04T17:54:27Z,Jesse R,Loss,4,2,2,FALSE,2-1,6,FALSE
KLR1028,KLR,1,2020-12-04T18:04:55Z,Damian S,Win,5,3,2,FALSE,2-0,6,FALSE
KLR1028,KLR,1,2020-12-04T18:04:55Z,Serge T,Loss,1,0,1,FALSE,2-0,6,FALSE
KLR1029,KLR,1,2020-12-04T18:09:48Z,Karen W,Win,4,2,2,FALSE,2-1,6,FALSE
KLR1029,KLR,1,2020-12-04T18:09:48Z,Tobias S,Loss,4,2,2,FALSE,2-1,6,FALSE
KLR1030,KLR,1,2020-12-04T18:18:55Z,Charles B,Win,3,3,0,FALSE,2-0,6,FALSE
KLR1030,KLR,1,2020-12-04T18:18:55Z,Chris G,Loss,2,1,1,FALSE,2-0,6,FALSE
KLR1031,KLR,1,2020-12-04T18:48:13Z,Tobias S,Win,5,3,2,FALSE,2-0,6,FALSE
KLR1031,KLR,1,2020-12-04T18:48:13Z,Stephen H,Loss,1,0,1,FALSE,2-0,6,FALSE
KLR1032,KLR,1,2020-12-04T18:50:23Z,Maxime R,Win,5,2,3,FALSE,2-1,6,FALSE
KLR1032,KLR,1,2020-12-04T18:50:23Z,Jean-Rene B,Loss,3,1,2,FALSE,2-1,6,FALSE
KLR1033,KLR,1,2020-12-04T19:17:56Z,Stephen H,Win,2,1,1,FALSE,2-0,6,FALSE
KLR1033,KLR,1,2020-12-04T19:17:56Z,Chris G,Loss,3,1,2,FALSE,2-0,6,FALSE
KLR1034,KLR,1,2020-12-04T19:48:11Z,Ryan D,Win,3,2,1,FALSE,2-0,6,FALSE
KLR1034,KLR,1,2020-12-04T19:48:11Z,Gabe C,Loss,1,0,1,FALSE,2-0,6,FALSE
KLR1035,KLR,1,2020-12-04T19:57:27Z,Charles B,Win,4,4,0,FALSE,2-0,6,FALSE
KLR1035,KLR,1,2020-12-04T19:57:27Z,Shawn R,Loss,2,1,1,FALSE,2-0,6,FALSE
KLR1036,KLR,1,2020-12-04T19:59:54Z,Eric O,Win,1,1,0,FALSE,2-1,6,FALSE
KLR1036,KLR,1,2020-12-04T19:59:54Z,Derek G,Loss,2,0,2,FALSE,2-1,6,FALSE
KLR1037,KLR,1,2020-12-04T20:10:45Z,Gordon C,Win,4,3,1,FALSE,2-0,6,FALSE
KLR1037,KLR,1,2020-12-04T20:10:45Z,Chris G,Loss,4,1,3,FALSE,2-0,6,FALSE
KLR1038,KLR,1,2020-12-04T20:32:34Z,Eric O,Win,2,2,0,FALSE,2-1,6,FALSE
KLR1038,KLR,1,2020-12-04T20:32:34Z,Kevin O,Loss,2,1,1,FALSE,2-1,6,FALSE
KLR1039,KLR,1,2020-12-04T20:40:15Z,Evan C,Win,1,1,0,FALSE,2-1,6,FALSE
KLR1039,KLR,1,2020-12-04T20:40:15Z,Gabe C,Loss,2,0,2,FALSE,2-1,6,FALSE
KLR1040,KLR,1,2020-12-04T20:57:27Z,Jean-Rene B,Win,4,2,2,FALSE,2-1,6,FALSE
KLR1040,KLR,1,2020-12-04T20:57:27Z,Charles B,Loss,5,4,1,FALSE,2-1,6,FALSE
KLR1041,KLR,1,2020-12-04T21:36:55Z,Shawn R,Win,3,2,1,FALSE,2-1,6,FALSE
KLR1041,KLR,1,2020-12-04T21:36:55Z,Derek G,Loss,3,0,3,FALSE,2-1,6,FALSE
KLR1042,KLR,1,2020-12-04T22:13:27Z,Derek G,Win,4,1,3,FALSE,2-0,6,FALSE
KLR1042,KLR,1,2020-12-04T22:13:27Z,Jean-Rene B,Loss,5,2,3,FALSE,2-0,6,FALSE
KLR1043,KLR,1,2020-12-05T06:33:56Z,Joe U,Win,4,1,3,FALSE,2-1,6,FALSE
KLR1043,KLR,1,2020-12-05T06:33:56Z,Ben W,Loss,1,0,1,FALSE,2-1,6,FALSE
KLR1044,KLR,1,2020-12-05T07:45:59Z,Shawn R,Win,4,3,1,FALSE,2-1,6,FALSE
KLR1044,KLR,1,2020-12-05T07:45:59Z,Joe U,Loss,5,1,4,FALSE,2-1,6,FALSE
KLR1045,KLR,1,2020-12-05T07:48:25Z,Caleb G,Win,1,1,0,FALSE,2-1,6,FALSE
KLR1045,KLR,1,2020-12-05T07:48:25Z,Vincent T,Loss,2,0,2,FALSE,2-1,6,FALSE
KLR1046,KLR,1,2020-12-05T08:15:31Z,Jeremy E,Win,5,3,2,FALSE,2-1,6,FALSE
KLR1046,KLR,1,2020-12-05T08:15:31Z,Wayne B,Loss,2,0,2,FALSE,2-1,6,FALSE
KLR1047,KLR,1,2020-12-05T08:54:29Z,Caleb G,Win,2,2,0,FALSE,2-1,6,FALSE
KLR1047,KLR,1,2020-12-05T08:54:29Z,Wayne B,Loss,3,0,3,FALSE,2-1,6,FALSE
KLR1048,KLR,1,2020-12-05T09:23:34Z,Richard K,Win,2,2,0,FALSE,2-1,6,FALSE
KLR1048,KLR,1,2020-12-05T09:23:34Z,Ben W,Loss,2,0,2,FALSE,2-1,6,FALSE
KLR1049,KLR,1,2020-12-05T10:28:31Z,Miles B,Win,2,1,1,FALSE,2-1,6,FALSE
KLR1049,KLR,1,2020-12-05T10:28:31Z,Vincent T,Loss,3,0,3,FALSE,2-1,6,FALSE
KLR1050,KLR,1,2020-12-05T10:59:38Z,Francis C,Win,1,1,0,FALSE,2-0,6,FALSE
KLR1050,KLR,1,2020-12-05T10:59:38Z,Evan C,Loss,2,1,1,FALSE,2-0,6,FALSE
KLR1051,KLR,1,2020-12-05T11:17:16Z,Caleb G,Win,3,3,0,FALSE,2-0,6,FALSE
KLR1051,KLR,1,2020-12-05T11:17:16Z,Francis C,Loss,2,1,1,FALSE,2-0,6,FALSE
KLR1052,KLR,1,2020-12-05T11:55:01Z,Caleb G,Win,4,4,0,FALSE,2-1,6,FALSE
KLR1052,KLR,1,2020-12-05T11:55:01Z,Evan W,Loss,1,0,1,FALSE,2-1,6,FALSE
KLR1053,KLR,1,2020-12-05T12:08:35Z,Francis C,Win,3,2,1,FALSE,2-1,6,FALSE
KLR1053,KLR,1,2020-12-05T12:08:35Z,Ben V,Loss,1,0,1,FALSE,2-1,6,FALSE
KLR1054,KLR,1,2020-12-05T13:50:48Z,Ryan D,Win,4,3,1,FALSE,2-1,6,FALSE
KLR1054,KLR,1,2020-12-05T13:50:48Z,Caleb G,Loss,5,4,1,FALSE,2-1,6,FALSE
KLR1055,KLR,1,2020-12-05T14:56:10Z,Alex D,Win,2,1,1,FALSE,2-0,6,FALSE
KLR1055,KLR,1,2020-12-05T14:56:10Z,Evan W,Loss,2,0,2,FALSE,2-0,6,FALSE
KLR1056,KLR,1,2020-12-05T15:14:04Z,Keith S,Win,2,2,0,FALSE,2-1,6,FALSE
KLR1056,KLR,1,2020-12-05T15:14:04Z,Brice C,Loss,1,0,1,FALSE,2-1,6,FALSE
KLR1057,KLR,1,2020-12-05T15:22:48Z,Paul S,Win,1,1,0,FALSE,2-0,6,FALSE
KLR1057,KLR,1,2020-12-05T15:22:48Z,Ryan D,Loss,5,3,2,FALSE,2-0,6,FALSE
KLR1058,KLR,1,2020-12-05T15:38:19Z,Serge T,Win,2,1,1,FALSE,2-0,6,FALSE
KLR1058,KLR,1,2020-12-05T15:38:19Z,Christian W,Loss,3,1,2,FALSE,2-0,6,FALSE
KLR1059,KLR,1,2020-12-05T15:45:23Z,Justin P,Win,1,1,0,FALSE,2-1,6,FALSE
KLR1059,KLR,1,2020-12-05T15:45:23Z,Keith S,Loss,3,2,1,FALSE,2-1,6,FALSE
KLR1060,KLR,1,2020-12-05T18:09:19Z,Brice C,Win,2,1,1,FALSE,2-1,6,FALSE
KLR1060,KLR,1,2020-12-05T18:09:19Z,Evan W,Loss,3,0,3,FALSE,2-1,6,FALSE
KLR1061,KLR,1,2020-12-05T21:17:33Z,Raleigh E,Win,1,1,0,FALSE,2-1,6,FALSE
KLR1061,KLR,1,2020-12-05T21:17:33Z,Alex D,Loss,3,1,2,FALSE,2-1,6,FALSE
KLR1062,KLR,1,2020-12-06T03:31:07Z,Tia T,Win,1,1,0,FALSE,2-1,6,FALSE
KLR1062,KLR,1,2020-12-06T03:31:07Z,Alex D,Loss,4,1,3,FALSE,2-1,6,FALSE
KLR1063,KLR,1,2020-12-06T04:39:48Z,Christian W,Win,4,2,2,FALSE,2-0,6,FALSE
KLR1063,KLR,1,2020-12-06T04:39:48Z,Tia T,Loss,2,1,1,FALSE,2-0,6,FALSE
KLR1064,KLR,1,2020-12-06T07:56:59Z,Vincent T,Win,4,1,3,FALSE,2-1,6,FALSE
KLR1064,KLR,1,2020-12-06T07:56:59Z,Ben V,Loss,2,0,2,FALSE,2-1,6,FALSE
KLR1065,KLR,1,2020-12-06T08:31:01Z,Francis C,Win,4,3,1,FALSE,2-0,6,FALSE
